pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
230,0,NULO,14,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
231,1,NULO,45,PAYLOAD,29,4,S,5,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
232,0,REAL,39,PAYLOAD,23,3,U,4,0,f7f31345a1f8cd81,d6fdbd858942d985
233,1,NULO,49,PAYLOAD,33,3,U,6,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
234,1,REAL,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
235,2,NULO,21,PAYLOAD,5,0,J,1,1,4cfd64574be51110,958794348209a838
236,1,NULO,25,PAYLOAD,9,4,S,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
237,2,PHAN_STRICT_POSTHOC,3,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
238,1,REAL,4,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
239,0,PHAN_STRICT_POSTHOC,56,PAYLOAD,40,0,J,8,0,f7f31345a1f8cd81,d6fdbd858942d985
240,2,NULO,41,PAYLOAD,25,0,J,5,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
241,2,NULO,1,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
242,2,PHAN_STRICT_POSTHOC,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
243,1,NULO,0,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
244,1,REAL,17,PAYLOAD,1,1,A,0,1,1145d10ea689307a,45d066a2b0da3167
245,1,REAL,54,PAYLOAD,38,3,U,7,1,1145d10ea689307a,45d066a2b0da3167
246,1,NULO,53,PAYLOAD,37,2,N,7,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
247,2,PHAN_STRICT_POSTHOC,28,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,d6fdbd858942d985
248,1,PHAN_STRICT_POSTHOC,53,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,d6fdbd858942d985
249,2,REAL,21,PAYLOAD,5,0,J,1,1,1145d10ea689307a,45d066a2b0da3167
250,0,REAL,42,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,d6fdbd858942d985
251,0,REAL,15,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
252,1,PHAN_STRICT_POSTHOC,18,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,d6fdbd858942d985
253,2,NULO,3,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
254,1,REAL,38,PAYLOAD,22,2,N,4,1,1145d10ea689307a,45d066a2b0da3167
255,2,REAL,53,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,d6fdbd858942d985
256,1,NULO,2,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
257,1,NULO,56,PAYLOAD,40,0,J,8,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
258,1,NULO,47,PAYLOAD,31,1,A,6,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
259,0,NULO,24,PAYLOAD,8,3,U,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
260,1,NULO,58,PAYLOAD,42,2,N,8,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
261,0,REAL,47,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,d6fdbd858942d985
262,0,REAL,7,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
263,2,PHAN_STRICT_POSTHOC,59,PAYLOAD,43,3,U,8,1,f7f31345a1f8cd81,d6fdbd858942d985
264,1,PHAN_STRICT_POSTHOC,34,PAYLOAD,18,3,U,3,1,f7f31345a1f8cd81,d6fdbd858942d985
265,1,REAL,43,PAYLOAD,27,2,N,5,1,1145d10ea689307a,45d066a2b0da3167
266,0,REAL,38,PAYLOAD,22,2,N,4,1,1145d10ea689307a,45d066a2b0da3167
267,2,REAL,51,PAYLOAD,35,0,J,7,0,f7f31345a1f8cd81,d6fdbd858942d985
268,2,PHAN_STRICT_POSTHOC,41,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,d6fdbd858942d985
269,1,PHAN_STRICT_POSTHOC,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
270,0,NULO,32,PAYLOAD,16,1,A,3,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
271,2,NULO,27,PAYLOAD,11,1,A,2,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
272,2,REAL,60,PAYLOAD,44,4,S,8,1,1145d10ea689307a,45d066a2b0da3167
273,1,REAL,46,PAYLOAD,30,0,J,6,1,1145d10ea689307a,45d066a2b0da3167
274,1,PHAN_STRICT_POSTHOC,42,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,d6fdbd858942d985
275,2,PHAN_STRICT_POSTHOC,7,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
276,0,PHAN_STRICT_POSTHOC,5,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
277,0,REAL,55,PAYLOAD,39,4,S,7,1,1145d10ea689307a,45d066a2b0da3167
278,1,PHAN_STRICT_POSTHOC,13,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
279,1,REAL,23,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,d6fdbd858942d985
280,0,REAL,31,PAYLOAD,15,0,J,3,0,f7f31345a1f8cd81,d6fdbd858942d985
281,0,REAL,50,PAYLOAD,34,4,S,6,1,1145d10ea689307a,45d066a2b0da3167
282,2,PHAN_STRICT_POSTHOC,45,PAYLOAD,29,4,S,5,0,f7f31345a1f8cd81,d6fdbd858942d985
283,2,REAL,30,PAYLOAD,14,4,S,2,1,1145d10ea689307a,45d066a2b0da3167
284,1,REAL,27,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,d6fdbd858942d985
285,1,PHAN_STRICT_POSTHOC,27,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,d6fdbd858942d985
286,2,NULO,47,PAYLOAD,31,1,A,6,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
287,2,PHAN_STRICT_POSTHOC,33,PAYLOAD,17,2,N,3,1,f7f31345a1f8cd81,d6fdbd858942d985
288,0,REAL,49,PAYLOAD,33,3,U,6,0,f7f31345a1f8cd81,d6fdbd858942d985
289,0,REAL,48,PAYLOAD,32,2,N,6,1,1145d10ea689307a,45d066a2b0da3167
290,0,NULO,36,PAYLOAD,20,0,J,4,1,4cfd64574be51110,958794348209a838
291,1,REAL,25,PAYLOAD,9,4,S,1,0,f7f31345a1f8cd81,d6fdbd858942d985
292,1,NULO,50,PAYLOAD,34,4,S,6,1,4cfd64574be51110,958794348209a838
293,0,PHAN_STRICT_POSTHOC,2,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
294,1,REAL,59,PAYLOAD,43,3,U,8,1,1145d10ea689307a,45d066a2b0da3167
295,2,PHAN_STRICT_POSTHOC,8,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
296,1,NULO,48,PAYLOAD,32,2,N,6,1,4cfd64574be51110,958794348209a838
297,0,NULO,6,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
298,1,PHAN_STRICT_POSTHOC,25,PAYLOAD,9,4,S,1,0,f7f31345a1f8cd81,d6fdbd858942d985
299,0,NULO,48,PAYLOAD,32,2,N,6,1,4cfd64574be51110,958794348209a838
300,2,PHAN_STRICT_POSTHOC,32,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,d6fdbd858942d985
301,2,NULO,54,PAYLOAD,38,3,U,7,1,4cfd64574be51110,958794348209a838
302,0,NULO,60,PAYLOAD,44,4,S,8,1,4cfd64574be51110,958794348209a838
303,1,NULO,19,PAYLOAD,3,3,U,0,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
304,1,PHAN_STRICT_POSTHOC,28,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,d6fdbd858942d985
305,0,PHAN_STRICT_POSTHOC,47,PAYLOAD,31,1,A,6,0,f7f31345a1f8cd81,d6fdbd858942d985
306,2,NULO,17,PAYLOAD,1,1,A,0,1,4cfd64574be51110,958794348209a838
307,0,REAL,34,PAYLOAD,18,3,U,3,1,1145d10ea689307a,45d066a2b0da3167
308,1,PHAN_STRICT_POSTHOC,9,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
309,2,PHAN_STRICT_POSTHOC,50,PAYLOAD,34,4,S,6,1,f7f31345a1f8cd81,d6fdbd858942d985
310,2,NULO,40,PAYLOAD,24,4,S,4,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
311,0,REAL,3,HEADER,-1,-1,,-1,1,1145d10ea689307a,45d066a2b0da3167
312,2,REAL,48,PAYLOAD,32,2,N,6,1,1145d10ea689307a,45d066a2b0da3167
313,2,PHAN_STRICT_POSTHOC,12,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
314,2,NULO,19,PAYLOAD,3,3,U,0,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
315,2,NULO,22,PAYLOAD,6,1,A,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
316,1,NULO,57,PAYLOAD,41,1,A,8,1,4cfd64574be51110,958794348209a838
317,0,REAL,10,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
318,0,PHAN_STRICT_POSTHOC,51,PAYLOAD,35,0,J,7,0,f7f31345a1f8cd81,d6fdbd858942d985
319,2,REAL,34,PAYLOAD,18,3,U,3,1,1145d10ea689307a,45d066a2b0da3167
320,0,NULO,54,PAYLOAD,38,3,U,7,1,4cfd64574be51110,958794348209a838
321,2,REAL,59,PAYLOAD,43,3,U,8,1,1145d10ea689307a,45d066a2b0da3167
322,0,NULO,0,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
323,1,REAL,48,PAYLOAD,32,2,N,6,1,1145d10ea689307a,45d066a2b0da3167
324,1,NULO,20,PAYLOAD,4,4,S,0,1,4cfd64574be51110,958794348209a838
325,1,REAL,41,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,d6fdbd858942d985
326,1,PHAN_STRICT_POSTHOC,57,PAYLOAD,41,1,A,8,1,f7f31345a1f8cd81,d6fdbd858942d985
327,2,REAL,50,PAYLOAD,34,4,S,6,1,1145d10ea689307a,45d066a2b0da3167
328,2,PHAN_STRICT_POSTHOC,34,PAYLOAD,18,3,U,3,1,f7f31345a1f8cd81,d6fdbd858942d985
329,0,NULO,41,PAYLOAD,25,0,J,5,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
330,2,PHAN_STRICT_POSTHOC,6,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,d6fdbd858942d985
331,2,NULO,7,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
332,2,REAL,36,PAYLOAD,20,0,J,4,1,1145d10ea689307a,45d066a2b0da3167
333,1,PHAN_STRICT_POSTHOC,5,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
334,2,PHAN_STRICT_POSTHOC,1,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
335,2,NULO,51,PAYLOAD,35,0,J,7,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
336,0,NULO,23,PAYLOAD,7,2,N,1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
337,2,PHAN_STRICT_POSTHOC,58,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,d6fdbd858942d985
338,1,REAL,60,PAYLOAD,44,4,S,8,1,1145d10ea689307a,45d066a2b0da3167
339,1,PHAN_STRICT_POSTHOC,32,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,d6fdbd858942d985
340,0,NULO,4,HEADER,-1,-1,,-1,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
341,0,NULO,3,HEADER,-1,-1,,-1,1,4cfd64574be51110,958794348209a838
342,1,NULO,28,PAYLOAD,12,2,N,2,0,ac38ecf3e7ea6c8f,11db72cfd0ef8b79
343,2,PHAN_STRICT_POSTHOC,5,HEADER,-1,-1,,-1,1,f7f31345a1f8cd81,d6fdbd858942d985
