pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
40,1,NULO,36,PAYLOAD,32,2,N,6,1,4cfd64574be51110,fad32430e3bae1d3
41,1,PHAN_STRICT_POSTHOC,11,PAYLOAD,7,2,N,1,0,f7f31345a1f8cd81,e21a13b453180fa1
42,1,REAL,26,PAYLOAD,22,2,N,4,1,1145d10ea689307a,d2c861a98ef8a254
43,1,REAL,46,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,e21a13b453180fa1
44,0,PHAN_STRICT_POSTHOC,36,PAYLOAD,32,2,N,6,1,f7f31345a1f8cd81,e21a13b453180fa1
45,0,REAL,6,PAYLOAD,2,2,N,0,0,f7f31345a1f8cd81,e21a13b453180fa1
46,1,PHAN_STRICT_POSTHOC,0,HEADER,-1,-1,,-1,0,f7f31345a1f8cd81,e21a13b453180fa1
47,0,REAL,26,PAYLOAD,22,2,N,4,1,1145d10ea689307a,d2c861a98ef8a254
48,1,NULO,4,PAYLOAD,0,0,J,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
49,1,NULO,23,PAYLOAD,19,4,S,3,1,4cfd64574be51110,fad32430e3bae1d3
50,1,PHAN_STRICT_POSTHOC,46,PAYLOAD,42,2,N,8,0,f7f31345a1f8cd81,e21a13b453180fa1
51,1,PHAN_STRICT_POSTHOC,18,PAYLOAD,14,4,S,2,1,f7f31345a1f8cd81,e21a13b453180fa1
52,1,REAL,30,PAYLOAD,26,1,A,5,0,f7f31345a1f8cd81,e21a13b453180fa1
53,1,PHAN_STRICT_POSTHOC,29,PAYLOAD,25,0,J,5,0,f7f31345a1f8cd81,e21a13b453180fa1
54,0,NULO,16,PAYLOAD,12,2,N,2,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
55,0,REAL,34,PAYLOAD,30,0,J,6,1,1145d10ea689307a,d2c861a98ef8a254
56,1,PHAN_STRICT_POSTHOC,32,PAYLOAD,28,3,U,5,1,f7f31345a1f8cd81,e21a13b453180fa1
57,0,NULO,40,PAYLOAD,36,1,A,7,1,4cfd64574be51110,fad32430e3bae1d3
58,1,NULO,26,PAYLOAD,22,2,N,4,1,4cfd64574be51110,fad32430e3bae1d3
59,1,NULO,41,PAYLOAD,37,2,N,7,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
