dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
NULO,POST_Q1_1,15,0,1,6.833167897312891,5.462377739466237,1.3707901578466544
NULO,POST_Q1_1,16,0,0,6.4050122927982525,7.196034107063159,-0.7910218142649068
NULO,POST_Q1_1,17,1,1,3.647106829564075,3.080489451290675,0.5666173782734001
NULO,POST_Q1_1,18,1,0,4.366369885229716,5.25712330300885,-0.8907534177791341
NULO,POST_Q1_1,19,0,1,8.034829341189862,6.861669802787289,1.1731595384025733
NULO,POST_Q1_1,20,0,0,15.029610766213413,15.337069163913743,-0.30745839770033
NULO,POST_Q1_1,21,1,0,10.687175737435888,11.06588395058268,-0.37870821314679226
NULO,POST_Q1_1,22,1,0,4.370914569862759,6.18807419134835,-1.8171596214855912
NULO,POST_Q1_1,23,1,0,3.9823427743966273,5.452106748539359,-1.4697639741427317
NULO,POST_Q1_1,24,1,0,9.086905015765986,9.495805898984925,-0.4089008832189389
NULO,POST_Q1_1,25,0,0,4.622339794491238,4.8615416636688735,-0.2392018691776352
NULO,POST_Q1_1,26,1,0,2.118150369971059,3.8984738490117588,-1.7803234790406997
NULO,POST_Q1_1,27,0,0,3.0797475659571187,4.615733277397427,-1.5359857114403086
NULO,POST_Q1_1,28,0,1,4.201828350078893,2.9033351482264385,1.2984932018524544
NULO,POST_Q1_1,29,0,1,6.101353198431184,5.621034441605235,0.48031875682594904
NULO,POST_Q1_1,30,0,0,3.75505772584625,5.4340586340992845,-1.6790009082530344
NULO,POST_Q1_1,31,1,1,6.0126426780081506,5.234504731816113,0.7781379461920377
NULO,POST_Q1_1,32,1,0,2.0560127866911406,3.5258230868988605,-1.4698103002077199
NULO,POST_Q1_1,33,0,0,4.84451385439108,6.802764950192517,-1.9582510958014376
NULO,POST_Q1_1,34,1,0,5.647128097282534,6.297201817035202,-0.650073719752668
NULO,POST_Q1_1,35,0,0,3.3288331083192757,4.757653747711358,-1.4288206393920824
NULO,POST_Q1_1,36,1,1,5.9178879696075475,5.715274459704371,0.20261350990317606
NULO,POST_Q1_1,37,0,0,3.6854385361646793,4.595459428796155,-0.9100208926314757
NULO,POST_Q1_1,38,1,0,8.790461465176922,10.07257171395977,-1.282110248782848
NULO,POST_Q1_1,39,0,1,5.418416779440676,3.8316324572996963,1.5867843221409799
NULO,POST_Q1_1,40,1,1,2.0758965095759856,1.3185198624510843,0.7573766471249013
NULO,POST_Q1_1,41,0,1,8.884546373982232,7.536499393071673,1.348046980910559
NULO,POST_Q1_1,42,1,1,4.194426055833218,3.9047205613436207,0.28970549448959737
NULO,POST_Q1_1,43,1,1,6.992750403530321,6.983032504532987,0.009717898997334551
NULO,POST_Q1_1,44,0,0,4.975780658482663,5.803385352887043,-0.8276046944043793
NULO,POST_Q1_1,45,1,1,5.813675767223818,4.77771538081121,1.035960386412608
NULO,POST_Q1_1,46,0,0,6.724849194869307,7.951539660051529,-1.2266904651822221
NULO,POST_Q1_1,47,1,0,5.577500759562489,5.9732748026518525,-0.3957740430893635
NULO,POST_Q1_1,48,1,0,5.72643492647233,7.138808065461909,-1.4123731389895786
PHAN_STRICT_POSTHOC,RAW,4,0,0,9.651217068890322,9.70513523210883,-0.0539181632185084
PHAN_STRICT_POSTHOC,RAW,5,1,0,7.495524295205676,7.750100702668288,-0.25457640746261134
PHAN_STRICT_POSTHOC,RAW,6,0,1,6.20959843880867,2.655023450921355,3.554574987887315
PHAN_STRICT_POSTHOC,RAW,7,0,0,3.0626188439323845,4.708548013752533,-1.6459291698201484
PHAN_STRICT_POSTHOC,RAW,8,1,0,3.495912057617204,3.5653319832891808,-0.06941992567197675
PHAN_STRICT_POSTHOC,RAW,9,1,1,2.915316242212425,2.0312056267342395,0.8841106154781855
PHAN_STRICT_POSTHOC,RAW,10,0,0,4.844044395284454,6.302787401478746,-1.4587430061942914
PHAN_STRICT_POSTHOC,RAW,11,0,0,4.1605010679074255,4.915410204795869,-0.7549091368884433
PHAN_STRICT_POSTHOC,RAW,12,0,1,5.4308613227409035,4.7567332680206595,0.674128054720244
PHAN_STRICT_POSTHOC,RAW,13,0,1,5.393463547127855,3.7336653430781523,1.6597982040497024
PHAN_STRICT_POSTHOC,RAW,14,0,1,6.526793733629326,5.214140959208635,1.312652774420691
PHAN_STRICT_POSTHOC,RAW,15,0,0,5.041296987910055,5.39956165182334,-0.3582646639132845
PHAN_STRICT_POSTHOC,RAW,16,0,1,4.641104439058337,1.0430713109680458,3.598033128090291
PHAN_STRICT_POSTHOC,RAW,17,1,1,6.477250859832381,4.590201329168503,1.8870495306638784
PHAN_STRICT_POSTHOC,RAW,18,1,0,3.316585145589281,5.228912165879614,-1.9123270202903333
PHAN_STRICT_POSTHOC,RAW,19,0,1,5.569581533044699,3.7660289215305345,1.803552611514165
PHAN_STRICT_POSTHOC,RAW,20,0,1,4.8622898676471,3.705135754695631,1.1571541129514684
PHAN_STRICT_POSTHOC,RAW,21,1,1,7.326147949699207,4.137989355350215,3.188158594348992
PHAN_STRICT_POSTHOC,RAW,22,1,1,8.003486673458925,5.825537287227771,2.1779493862311536
PHAN_STRICT_POSTHOC,RAW,23,1,1,4.240292690924764,3.902947129645439,0.3373455612793248
PHAN_STRICT_POSTHOC,RAW,24,1,1,4.32541447362102,0.9831257484586976,3.3422887251623226
PHAN_STRICT_POSTHOC,RAW,25,0,0,4.176867512625377,6.400564189931163,-2.223696677305786
PHAN_STRICT_POSTHOC,RAW,26,1,0,4.153259360527638,5.443931853649411,-1.2906724931217726
