dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
NULO,RAW,14,PAYLOAD,10,0,J,2,0,1024.0,0.0625,0.064453125,0.2538762001448738,4.140350151123009,17.47382920110192,0.11730205278592376,0.0166015625,0.0283203125,0.017578125,0.016325950622558594,0.027518272399902344,0.017269134521484375,0.033235581622678395,0.05083088954056696,0.03519061583577713
NULO,RAW,15,PAYLOAD,11,1,A,2,0,1024.0,0.0751953125,0.08321285247802734,0.28846638015205056,4.285661173472836,21.876920435398336,0.13880742913000976,0.033203125,0.025390625,0.0166015625,0.032100677490234375,0.024745941162109375,0.016325950622558594,0.06451612903225806,0.05083088954056696,0.033235581622678395
NULO,RAW,16,PAYLOAD,12,2,N,2,0,1024.0,0.0673828125,0.06674861907958984,0.2583575411703514,3.7867469488807757,13.897886961192299,0.1300097751710655,0.0185546875,0.029296875,0.01953125,0.018210411071777344,0.028438568115234375,0.0191497802734375,0.03714565004887586,0.05767350928641251,0.03714565004887586
NULO,RAW,17,PAYLOAD,13,3,U,2,1,1024.0,0.072265625,0.07290267944335938,0.2700049618865538,3.7421745520823753,13.873057231740631,0.12512218963831867,0.0341796875,0.0244140625,0.013671875,0.033011436462402344,0.023818016052246094,0.013484954833984375,0.06256109481915934,0.0469208211143695,0.02737047898338221
NULO,RAW,18,PAYLOAD,14,4,S,2,1,1024.0,0.06640625,0.0678558349609375,0.2604915256988939,3.9700101240959036,15.887797156616951,0.12121212121212122,0.025390625,0.021484375,0.01953125,0.024745941162109375,0.021022796630859375,0.0191497802734375,0.05083088954056696,0.039100684261974585,0.03714565004887586
NULO,RAW,19,PAYLOAD,15,0,J,3,0,1024.0,0.052734375,0.057765960693359375,0.24034550275251537,4.81759484914388,24.672765653169165,0.10361681329423265,0.01953125,0.0224609375,0.0107421875,0.0191497802734375,0.021956443786621094,0.010626792907714844,0.039100684261974585,0.043010752688172046,0.021505376344086023
NULO,RAW,20,PAYLOAD,16,1,A,3,0,1024.0,0.052734375,0.055812835693359375,0.23624740356956175,4.65173451906804,22.640789573462754,0.09775171065493646,0.017578125,0.0234375,0.01171875,0.017269134521484375,0.02288818359375,0.0115814208984375,0.03519061583577713,0.0469208211143695,0.02346041055718475
NULO,RAW,21,PAYLOAD,17,2,N,3,1,1024.0,0.044921875,0.042903900146484375,0.20713256660043677,4.394076049642697,17.307904330043563,0.08406647116324535,0.021484375,0.0107421875,0.0126953125,0.021022796630859375,0.010626792907714844,0.012534141540527344,0.043010752688172046,0.019550342130987292,0.02541544477028348
NULO,RAW,22,PAYLOAD,18,3,U,3,1,1024.0,0.076171875,0.07622909545898438,0.2760961706706277,3.605743397027485,12.725308134794016,0.14271749755620725,0.025390625,0.02734375,0.0234375,0.024745941162109375,0.0265960693359375,0.02288818359375,0.04887585532746823,0.05474095796676442,0.044965786901270774
NULO,RAW,23,PAYLOAD,19,4,S,3,1,1024.0,0.0546875,0.05755615234375,0.23990863332475137,4.537824091391781,21.437588347020913,0.10752688172043011,0.021484375,0.017578125,0.015625,0.021022796630859375,0.017269134521484375,0.015380859375,0.043010752688172046,0.03519061583577713,0.03128054740957967
