dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,POST_Q1_1,aggregate,hard_vector,16,0,0,21.268461063146493,33.852180832876215,12.583719769729722,,,
NULO,POST_Q1_1,aggregate,hard_vector,17,1,0,2.499819064690149,3.9568460727898307,1.4570270080996819,,,
NULO,POST_Q1_1,aggregate,hard_vector,18,0,1,14.347430432578609,6.0898427238676245,8.257587708710984,,,
NULO,POST_Q1_1,aggregate,hard_vector,19,0,1,24.298108315470017,12.937120898765524,11.360987416704493,,,
NULO,POST_Q1_1,aggregate,hard_vector,20,1,0,6.81463618542018,9.752801606539926,2.938165421119746,,,
NULO,POST_Q1_1,aggregate,hard_vector,21,1,1,30.309909499309864,25.465123627588092,4.844785871721772,,,
NULO,POST_Q1_1,aggregate,hard_vector,22,0,1,15.723747751164826,15.701142537478225,0.02260521368660129,,,
NULO,POST_Q1_1,aggregate,hard_vector,23,0,0,17.3978933641384,28.165905460025325,10.768012095886924,,,
NULO,POST_Q1_1,aggregate,hard_vector,24,0,0,5.091557955840561,6.976951448778334,1.885393492937773,,,
NULO,POST_Q1_1,aggregate,hard_vector,25,0,1,27.153217731139318,25.211116995725387,1.9421007354139306,,,
NULO,POST_Q1_1,aggregate,hard_vector,26,0,0,52.29496916972,73.77820102553612,21.483231855816122,,,
NULO,POST_Q1_1,aggregate,hard_vector,27,0,0,58.19627511156498,85.62187050224487,27.425595390679895,,,
NULO,POST_Q1_1,aggregate,hard_vector,28,0,0,13.528894426565255,25.89891696179192,12.370022535226664,,,
NULO,POST_Q1_1,aggregate,hard_vector,29,1,1,9.51421777188242,2.7247648077115105,6.789452964170909,,,
NULO,POST_Q1_1,aggregate,hard_vector,30,1,0,29.968837581856754,34.750467839038016,4.781630257181263,,,
NULO,POST_Q1_1,aggregate,hard_vector,31,0,0,18.302143216203195,20.93313699555128,2.630993779348085,,,
NULO,POST_Q1_1,aggregate,hard_vector,32,0,1,64.32577595219348,53.31131707726965,11.014458874923832,,,
NULO,POST_Q1_1,aggregate,hard_vector,33,1,1,38.2901033045106,29.501560993828992,8.78854231068161,,,
NULO,POST_Q1_1,aggregate,hard_vector,34,1,0,14.50061022188687,25.81125278861947,11.3106425667326,,,
NULO,POST_Q1_1,aggregate,hard_vector,35,1,0,17.063025793047036,32.71065440275111,15.647628609704075,,,
NULO,POST_Q1_1,aggregate,hard_vector,36,1,1,10.75522627169746,10.511455814946919,0.243770456750541,,,
NULO,POST_Q1_1,aggregate,hard_vector,37,0,0,16.53083845245282,21.33148928945237,4.8006508369995515,,,
NULO,POST_Q1_1,aggregate,hard_vector,38,1,0,40.610280161713895,55.19487224495965,14.584592083245752,,,
NULO,POST_Q1_1,aggregate,hard_vector,39,0,1,16.01228280082407,9.406875036593103,6.605407764230968,,,
NULO,POST_Q1_1,aggregate,hard_vector,40,0,0,132.4378862660677,150.65029125911713,18.212404993049432,,,
NULO,POST_Q1_1,aggregate,hard_vector,41,0,0,0.6640138146099426,3.4306854458086766,2.766671631198734,,,
NULO,POST_Q1_1,aggregate,hard_vector,42,0,0,19.565154100318765,31.898917824861062,12.333763724542298,,,
NULO,POST_Q1_1,aggregate,hard_vector,43,1,0,2.9226611965129243,7.264140712012581,4.341479515499657,,,
NULO,POST_Q1_1,aggregate,hard_vector,44,1,0,27.331383856463237,37.91278424490635,10.581400388443111,,,
NULO,POST_Q1_1,aggregate,hard_vector,45,0,0,51.53994919596724,60.298938888007676,8.758989692040437,,,
NULO,POST_Q1_1,aggregate,hard_vector,46,1,0,12.52136047643605,15.686015069487478,3.164654593051429,,,
NULO,POST_Q1_1,aggregate,hard_vector,47,0,0,10.17143296130052,15.76661682366892,5.595183862368401,,,
NULO,POST_Q1_1,aggregate,hard_vector,48,1,0,11.4014786112008,17.50740475277959,6.10592614157879,,,
NULO,POST_Q1_1,aggregate,hard_vector,49,0,0,60.03607894286265,65.77591497245261,5.739836029589959,,,
NULO,POST_Q1_1,aggregate,hard_vector,50,1,0,30.33171891868591,39.05810570435449,8.726386785668577,,,
