dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,cycle,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
NULO,RAW,23,PAYLOAD,7,2,1,0,0,0.025390625,0.03125,0.01953125,0.076171875,-0.005859375,0.005859375,0.01171875,0.8124740008319733,1.2307207593054796,0.3333289573224064,0.41025102439680794,0.25640689024800495,0.024745941162109375,0.0302734375,0.0191497802734375,0.07818222045898438,0.050880626223091974,0.06262230919765166,0.03913894324853229,0.14481409001956946,cycle
NULO,RAW,24,PAYLOAD,8,3,1,0,0,0.04296875,0.044921875,0.041015625,0.12890625,-0.001953125,0.001953125,0.00390625,0.956500446598754,1.0454302154422588,0.3333307474948073,0.34848214510820763,0.318179349881407,0.0411224365234375,0.042903900146484375,0.039333343505859375,0.1279144287109375,0.07827788649706457,0.09001956947162426,0.07436399217221135,0.22309197651663404,cycle
NULO,RAW,25,PAYLOAD,9,4,1,0,0,0.037109375,0.03125,0.0234375,0.091796875,0.005859375,0.013671875,0.0078125,1.1874620012159611,0.8420825712486063,0.40425091539428337,0.34042182348992284,0.25531636761744214,0.035732269287109375,0.0302734375,0.02288818359375,0.09899520874023438,0.06262230919765166,0.05870841487279843,0.046966731898238745,0.15655577299412915,cycle
NULO,RAW,26,PAYLOAD,10,0,2,0,0,0.021484375,0.0390625,0.017578125,0.078125,-0.017578125,0.00390625,0.021484375,0.5499859203604388,1.8180971940215145,0.27499648004505545,0.49999360008191895,0.22499712003686353,0.021022796630859375,0.03753662109375,0.017269134521484375,0.072021484375,0.03913894324853229,0.07436399217221135,0.03522504892367906,0.14090019569471623,cycle
NULO,RAW,27,PAYLOAD,11,1,2,0,0,0.0390625,0.029296875,0.02734375,0.095703125,0.009765625,0.01171875,0.001953125,1.3332878237756152,0.7499808004915074,0.4081590004610564,0.3061192503457923,0.2857113003227395,0.03753662109375,0.028438568115234375,0.0265960693359375,0.09435653686523438,0.07045009784735812,0.0547945205479452,0.050880626223091974,0.16046966731898238,cycle
NULO,RAW,28,PAYLOAD,12,2,2,0,0,0.03125,0.037109375,0.01171875,0.080078125,-0.005859375,0.01953125,0.025390625,0.8420825712486063,1.1874620012159611,0.3902390292101718,0.46340884718707903,0.14633963595381444,0.0302734375,0.035732269287109375,0.0115814208984375,0.08929061889648438,0.05870841487279843,0.07436399217221135,0.023483365949119372,0.14481409001956946,cycle
NULO,RAW,29,PAYLOAD,13,3,2,1,0,0.052734375,0.05078125,0.0234375,0.126953125,0.001953125,0.029296875,0.02734375,1.0384410891600904,0.9629447026782306,0.41538134345772537,0.3999968492555874,0.18461393042565571,0.049953460693359375,0.0482025146484375,0.02288818359375,0.11474227905273438,0.10176125244618395,0.08610567514677103,0.046966731898238745,0.2035225048923679,cycle
NULO,RAW,30,PAYLOAD,14,4,2,1,0,0.037109375,0.021484375,0.025390625,0.083984375,0.015625,0.01171875,-0.00390625,1.7271923343204387,0.5789317677334168,0.44185520395664124,0.25581090755384495,0.302321981654544,0.035732269287109375,0.021022796630859375,0.024745941162109375,0.07693099975585938,0.07436399217221135,0.043052837573385516,0.050880626223091974,0.1643835616438356,cycle
NULO,RAW,31,PAYLOAD,15,0,3,0,0,0.0234375,0.029296875,0.01171875,0.064453125,-0.005859375,0.01171875,0.017578125,0.7999726942653691,1.249946668942125,0.36363072185061857,0.4545384023132732,0.18181536092530928,0.02288818359375,0.028438568115234375,0.0115814208984375,0.06420516967773438,0.046966731898238745,0.05870841487279843,0.023483365949119372,0.12915851272015655,cycle
NULO,RAW,32,PAYLOAD,16,1,3,0,0,0.03125,0.033203125,0.009765625,0.07421875,-0.001953125,0.021484375,0.0234375,0.9411481254211638,1.0624660010879652,0.4210469585251904,0.4473623934330148,0.131577174539122,0.0302734375,0.032100677490234375,0.009670257568359375,0.0687103271484375,0.06262230919765166,0.06457925636007827,0.019569471624266144,0.13894324853228962,cycle
NULO,RAW,33,PAYLOAD,17,2,3,1,0,0.029296875,0.03125,0.0234375,0.083984375,-0.001953125,0.005859375,0.0078125,0.9374700009599692,1.0666302590204921,0.3488330557552431,0.37208859280559264,0.2790664446041945,0.028438568115234375,0.0302734375,0.02288818359375,0.08474349975585938,0.0547945205479452,0.06262230919765166,0.046966731898238745,0.1643835616438356,cycle
