dataset,mode,cycle,decoder,sequence_index,bit_true,bit_pred_hard,cost0,cost1,margin,payload_index,char_index,bit_in_char
NULO,RAW,0,soft_vector_codebook,45,0,1,14.820390417074528,14.10541642730237,0.7149739897721581,29.0,4.0,5.0
NULO,RAW,0,soft_vector_codebook,46,1,0,6.400261862581493,15.76994572194621,9.369683859364716,30.0,0.0,6.0
NULO,RAW,0,soft_vector_codebook,47,0,0,53.71800886950319,60.084017428490625,6.3660085589874384,31.0,1.0,6.0
NULO,RAW,0,soft_vector_codebook,48,1,1,49.12170401154572,29.087590548861222,20.034113462684495,32.0,2.0,6.0
NULO,RAW,0,soft_vector_codebook,49,0,0,10.874546985026656,17.616684506828577,6.74213752180192,33.0,3.0,6.0
NULO,RAW,0,soft_vector_codebook,50,1,0,8.543108596519305,10.306790140812788,1.7636815442934832,34.0,4.0,6.0
NULO,RAW,0,soft_vector_codebook,51,0,1,102.50138609858723,62.7872661064097,39.71411999217753,35.0,0.0,7.0
NULO,RAW,0,soft_vector_codebook,52,1,0,15.32983925558104,26.84284800493577,11.51300874935473,36.0,1.0,7.0
NULO,RAW,0,soft_vector_codebook,53,0,1,28.45452664325998,9.882804905339597,18.571721737920384,37.0,2.0,7.0
NULO,RAW,0,soft_vector_codebook,54,1,0,28.27748064067358,48.617893557681235,20.340412917007654,38.0,3.0,7.0
NULO,RAW,0,soft_vector_codebook,55,1,0,39.97115568928164,46.8319578397529,6.860802150471265,39.0,4.0,7.0
NULO,RAW,0,soft_vector_codebook,56,0,1,29.646987441722402,18.88304497274131,10.763942468981092,40.0,0.0,8.0
NULO,RAW,0,soft_vector_codebook,57,1,1,16.304414928915296,11.522142704645717,4.78227222426958,41.0,1.0,8.0
NULO,RAW,0,soft_vector_codebook,58,0,1,86.08896436859075,55.00150734746277,31.08745702112798,42.0,2.0,8.0
NULO,RAW,0,soft_vector_codebook,59,1,1,7.923639439953216,0.9832281809042871,6.940411259048929,43.0,3.0,8.0
NULO,RAW,0,soft_vector_codebook,60,1,0,24.61303247597209,53.663191577000454,29.050159101028363,44.0,4.0,8.0
NULO,RAW,1,hard_vector,16,0,1,34.1389946729612,31.771092353912465,2.3679023190487385,,,
NULO,RAW,1,hard_vector,17,1,1,36.84437661568561,26.759820487172668,10.084556128512943,,,
NULO,RAW,1,hard_vector,18,0,0,11.278579242523945,17.654949337334543,6.376370094810598,,,
NULO,RAW,1,hard_vector,19,0,0,18.032996131153894,21.355610546858273,3.322614415704379,,,
NULO,RAW,1,hard_vector,20,1,1,21.299261950823073,14.082388082249137,7.216873868573936,,,
NULO,RAW,1,hard_vector,21,1,1,24.594423896138338,22.37514351263069,2.2192803835076482,,,
NULO,RAW,1,hard_vector,22,0,1,3.429122295499637,2.2774819769447188,1.1516403185549184,,,
NULO,RAW,1,hard_vector,23,0,0,34.19413851978262,44.662603173649764,10.468464653867144,,,
NULO,RAW,1,hard_vector,24,0,1,23.0939059679094,15.511157385092597,7.582748582816803,,,
NULO,RAW,1,hard_vector,25,0,1,27.213478835031538,15.342497312892595,11.870981522138942,,,
NULO,RAW,1,hard_vector,26,0,1,7.360134178784869,3.687409199967836,3.6727249788170333,,,
