dataset,mode,sequence_index,sequence_kind,payload_index,char_index,bit_in_char,bit_sent,e1_mean,e2_mean,e3_mean,cons_mean,e1_minus_e2,e1_minus_e3,e2_minus_e3,e1_ratio_e2,e2_ratio_e1,e1_share,e2_share,e3_share,e1_var,e2_var,e3_var,cons_var,e1_flicker,e2_flicker,e3_flicker,cons_flicker,cycle_scope
REAL,RAW,9,HEADER,-1,-1,-1,1,0.029947916666666668,0.033203125,0.033203125,0.09635416666666667,-0.003255208333333332,-0.003255208333333332,0.0,0.901933620195282,1.1086586326160934,0.31080758513208945,0.3445910182986209,0.3445910182986209,0.02905103895399307,0.032100677490234375,0.032100677490234375,0.09358045789930557,0.05732899022801303,0.06384364820846905,0.06384364820846905,0.17068403908794788,aggregate
REAL,RAW,10,HEADER,-1,-1,-1,0,0.034505208333333336,0.035807291666666664,0.038411458333333336,0.10872395833333333,-0.0013020833333333287,-0.00390625,-0.0026041666666666713,0.963609452652377,1.037705775168478,0.31736235048760275,0.32933828824185185,0.3532901637503502,0.0333145989312066,0.03452512953016495,0.03693601820203993,0.12554889255099824,0.06644951140065146,0.06775244299674267,0.07687296416938111,0.196742671009772,aggregate
REAL,RAW,11,HEADER,-1,-1,-1,1,0.036458333333333336,0.039713541666666664,0.032552083333333336,0.10872395833333333,-0.0032552083333333287,0.00390625,0.007161458333333329,0.9180096711007409,1.0892558375541699,0.33532625711897646,0.3652661015045993,0.299398443856229,0.03512912326388888,0.03813637627495659,0.03149244520399305,0.10731972588433158,0.07166123778501629,0.0742671009771987,0.06514657980456026,0.20195439739413681,aggregate
REAL,RAW,12,HEADER,-1,-1,-1,0,0.037109375,0.037109375,0.037109375,0.111328125,0.0,0.0,0.0,0.99997305335772,0.99997305335772,0.33333033920818117,0.33333033920818117,0.33333033920818117,0.035732269287109375,0.035732269287109375,0.035732269287109375,0.1080487569173177,0.06514657980456026,0.07296416938110749,0.06775244299674267,0.19804560260586318,aggregate
REAL,RAW,13,HEADER,-1,-1,-1,1,0.037109375,0.042317708333333336,0.034505208333333336,0.11393229166666667,-0.005208333333333336,0.0026041666666666644,0.0078125,0.8769023550458869,1.1403201485658212,0.3257114268985616,0.37142531137555274,0.3028544846600661,0.035732269287109375,0.040526919894748256,0.033314598931206606,0.11787880791558158,0.06775244299674267,0.07947882736156352,0.06775244299674267,0.196742671009772,aggregate
REAL,RAW,14,HEADER,-1,-1,-1,0,0.033203125,0.038411458333333336,0.041015625,0.11263020833333333,-0.005208333333333336,-0.0078125,-0.0026041666666666644,0.8643842763686693,1.1568279041635139,0.29479507049000997,0.341037434488443,0.3641586164876594,0.032100677490234375,0.03693601820203993,0.039333343505859375,0.11166339450412326,0.06644951140065146,0.0755700325732899,0.08078175895765473,0.21107491856677524,aggregate
REAL,RAW,15,HEADER,-1,-1,-1,1,0.030598958333333332,0.0390625,0.037109375,0.10677083333333333,-0.008463541666666668,-0.006510416666666668,0.001953125,0.7833132805133521,1.2765540258088586,0.2865826817622001,0.3658502320368512,0.3475577204350086,0.02966266208224826,0.03753662109375,0.035732269287109375,0.10578748914930554,0.05993485342019544,0.0755700325732899,0.07166123778501629,0.19153094462540718,aggregate
REAL,RAW,16,PAYLOAD,0,0,0,0,0.0390625,0.041015625,0.028645833333333332,0.10872395833333333,-0.001953125,0.010416666666666668,0.012369791666666668,0.9523577329924147,1.0499731206881104,0.35927813262747477,0.3772420392588485,0.26347063059348147,0.03753662109375,0.039333343505859375,0.027825249565972227,0.12034055921766491,0.07296416938110749,0.0781758957654723,0.05472312703583062,0.19153094462540718,aggregate
REAL,RAW,17,PAYLOAD,1,1,0,1,0.033203125,0.036458333333333336,0.032552083333333336,0.10221354166666667,-0.0032552083333333356,0.0006510416666666644,0.00390625,0.9106893068075846,1.098006146324691,0.3248375863023404,0.35668440848884436,0.3184682218650396,0.032100677490234375,0.03512912326388888,0.03149244520399305,0.09697426689995658,0.06254071661237785,0.06905537459283388,0.06254071661237785,0.18371335504885994,aggregate
REAL,RAW,18,PAYLOAD,2,2,0,0,0.038411458333333336,0.043619791666666664,0.041666666666666664,0.12369791666666667,-0.005208333333333329,-0.0032552083333333287,0.001953125,0.8805768273730322,1.1355636571902126,0.310523805449657,0.3526287282224918,0.3368393821826787,0.03693601820203993,0.04171710544162327,0.03993055555555557,0.12011549207899308,0.0755700325732899,0.08273615635179153,0.07947882736156352,0.21433224755700325,aggregate
REAL,RAW,19,PAYLOAD,3,3,0,0,0.039713541666666664,0.03125,0.035807291666666664,0.10677083333333333,0.008463541666666664,0.00390625,-0.004557291666666664,1.2707926679679582,0.7868654323720635,0.371947735904132,0.29268018562948095,0.3353627127004469,0.0381363762749566,0.0302734375,0.03452512953016494,0.10448540581597221,0.0755700325732899,0.06254071661237785,0.06644951140065146,0.1993485342019544,aggregate
REAL,RAW,20,PAYLOAD,4,4,0,1,0.026041666666666668,0.042317708333333336,0.037109375,0.10546875,-0.016276041666666668,-0.011067708333333332,0.005208333333333336,0.6153700737164118,1.624937602396068,0.2469112391625719,0.40123076363917937,0.35184851580666493,0.025363498263888895,0.04052691989474826,0.035732269287109375,0.10476175944010417,0.05211726384364821,0.07752442996742671,0.06775244299674267,0.18566775244299674,aggregate
REAL,RAW,21,PAYLOAD,5,0,1,1,0.029296875,0.038411458333333336,0.032552083333333336,0.10026041666666667,-0.009114583333333336,-0.0032552083333333356,0.005859375,0.7626920085605906,1.3110663600460215,0.2922048777487518,0.38311306193725236,0.324672086387502,0.028438568115234375,0.03693601820203993,0.03149244520399305,0.0954165988498264,0.05732899022801303,0.0755700325732899,0.06384364820846905,0.18371335504885994,aggregate
REAL,RAW,22,PAYLOAD,6,1,1,0,0.033203125,0.039713541666666664,0.030598958333333332,0.103515625,-0.006510416666666664,0.002604166666666668,0.009114583333333332,0.8360445218953175,1.1960424093893955,0.32075161839946,0.38364409259543253,0.29559462872107095,0.032100677490234375,0.03813637627495659,0.029662662082248253,0.10451889038085938,0.06644951140065146,0.0742671009771987,0.05993485342019544,0.19022801302931597,aggregate
REAL,RAW,23,PAYLOAD,7,2,1,0,0.039713541666666664,0.031901041666666664,0.02734375,0.09895833333333333,0.0078125,0.012369791666666664,0.004557291666666664,1.2448589366668017,0.8032584622131482,0.40131173411300264,0.3223651634678218,0.27631299725813296,0.03813637627495659,0.03088336520724827,0.0265960693359375,0.09828016493055557,0.0781758957654723,0.06384364820846905,0.05472312703583062,0.17980456026058633,aggregate
REAL,RAW,24,PAYLOAD,8,3,1,0,0.035807291666666664,0.037109375,0.037109375,0.11002604166666667,-0.0013020833333333356,-0.0013020833333333356,0.0,0.9648862795556947,1.0363346943619902,0.3254408291295056,0.3372750410978513,0.3372750410978513,0.03452512953016494,0.035732269287109375,0.035732269287109375,0.11224322848849827,0.07035830618892508,0.07035830618892508,0.07296416938110749,0.1993485342019544,aggregate
REAL,RAW,25,PAYLOAD,9,4,1,0,0.0390625,0.044921875,0.039713541666666664,0.12369791666666667,-0.005859375,-0.0006510416666666644,0.005208333333333336,0.8695458605443218,1.1499705607536448,0.31578692079626136,0.36315495891570054,0.3210500361428657,0.03753662109375,0.042903900146484375,0.03813637627495659,0.12402174207899307,0.0755700325732899,0.08729641693811074,0.07687296416938111,0.21498371335504887,aggregate
REAL,RAW,26,PAYLOAD,10,0,2,0,0.026692708333333332,0.041666666666666664,0.02734375,0.095703125,-0.014973958333333332,-0.0006510416666666678,0.014322916666666664,0.6406096253689911,1.5609171324703541,0.2789086503150552,0.43536960049179346,0.2857113003227395,0.025980207655164927,0.03993055555555557,0.0265960693359375,0.0995648701985677,0.05211726384364821,0.08078175895765473,0.050814332247557006,0.17068403908794788,aggregate
