dataset,mode,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,n,cons_mean,cons_var,cons_std,cons_skew,cons_kurt,cons_flicker,e1_mean,e2_mean,e3_mean,e1_var,e2_var,e3_var,e1_flicker,e2_flicker,e3_flicker
REAL,POST_Q1_1,15,PAYLOAD,11,1,A,2,0,236.0,0.2033898305084746,0.21286986498132726,0.46137822334970174,2.2159046197093595,4.232249886628745,0.3574468085106383,0.08050847457627118,0.0423728813559322,0.08050847457627118,0.07402686009767306,0.0405774202815283,0.07402686009767306,0.14468085106382977,0.0851063829787234,0.1276595744680851
REAL,POST_Q1_1,16,PAYLOAD,12,2,N,2,0,232.0,0.16379310344827586,0.15420630202140312,0.39269110254932327,2.2351283037091,4.160071069821455,0.2943722943722944,0.06465517241379311,0.05172413793103448,0.04741379310344827,0.06047488109393579,0.0490487514863258,0.04516572532699169,0.12987012987012986,0.1038961038961039,0.09523809523809523
REAL,POST_Q1_1,17,PAYLOAD,13,3,U,2,1,242.0,0.0743801652892562,0.06884775630079913,0.26238855977500075,3.244195059995865,8.524801587301583,0.14107883817427386,0.01652892561983471,0.0371900826446281,0.02066115702479339,0.016255720237688683,0.03580698039751383,0.020234273615190215,0.03319502074688797,0.07468879668049792,0.04149377593360996
REAL,POST_Q1_1,18,PAYLOAD,14,4,S,2,1,245.0,0.08979591836734693,0.08173261141191168,0.28588915931163195,2.8696721667960317,6.235018344883827,0.1680327868852459,0.0326530612244898,0.02040816326530612,0.036734693877551024,0.03158683881715952,0.019991670137442734,0.03538525614327365,0.06147540983606557,0.040983606557377046,0.06557377049180328
REAL,POST_Q1_1,19,PAYLOAD,15,0,J,3,0,227.0,0.14096916299559473,0.13871800345436558,0.37244865881670935,2.5619951191676735,5.9771314401811875,0.23893805309734514,0.048458149779735685,0.05286343612334802,0.039647577092511016,0.046109957499660376,0.05006889324458075,0.03807564672320441,0.08849557522123894,0.09734513274336283,0.07964601769911504
REAL,POST_Q1_1,20,PAYLOAD,16,1,A,3,0,230.0,0.23043478260869565,0.22950850661625705,0.4790704610140945,1.965063180154735,3.0857126075262595,0.37554585152838427,0.07391304347826087,0.06086956521739131,0.09565217391304348,0.06844990548204159,0.05716446124763703,0.08650283553875236,0.13973799126637554,0.10480349344978165,0.17467248908296942
REAL,POST_Q1_1,21,PAYLOAD,17,2,N,3,1,279.0,0.07885304659498207,0.07980370241903367,0.28249549097115456,3.5924931905426734,12.775948572212815,0.15827338129496402,0.03942652329749104,0.03225806451612903,0.007168458781362007,0.03787207255816343,0.031217481789802298,0.007117071980061924,0.07913669064748201,0.06474820143884892,0.014388489208633094
REAL,POST_Q1_1,22,PAYLOAD,18,3,U,3,1,270.0,0.09259259259259259,0.09883401920438954,0.3143787830060889,3.501277551275517,12.442657553813412,0.17100371747211895,0.025925925925925925,0.025925925925925925,0.040740740740740744,0.025253772290809332,0.025253772290809332,0.03908093278463648,0.05204460966542751,0.04460966542750929,0.07434944237918216
REAL,POST_Q1_1,23,PAYLOAD,19,4,S,3,1,240.0,0.10416666666666667,0.09331597222222224,0.3054766312211496,2.5915784899877994,4.716279069767442,0.19246861924686193,0.0375,0.025,0.041666666666666664,0.036093750000000015,0.024374999999999997,0.03993055555555558,0.07531380753138076,0.0502092050209205,0.08368200836820083
REAL,POST_Q1_1,24,PAYLOAD,20,0,J,4,1,253.0,0.08695652173913043,0.07939508506616258,0.2817713347133852,2.9317636492797456,6.595238095238097,0.15079365079365079,0.023715415019762844,0.03162055335968379,0.03162055335968379,0.023152994110203256,0.030620693964911187,0.03062069396491119,0.047619047619047616,0.06349206349206349,0.06349206349206349
REAL,POST_Q1_1,25,PAYLOAD,21,1,A,4,0,256.0,0.203125,0.224365234375,0.4736720747257537,2.5307707687654246,7.04126522536561,0.3607843137254902,0.0859375,0.04296875,0.07421875,0.07855224609375,0.0411224365234375,0.0687103271484375,0.1568627450980392,0.08627450980392157,0.1411764705882353
REAL,POST_Q1_1,26,PAYLOAD,22,2,N,4,1,257.0,0.0622568093385214,0.05838089902950839,0.24162139605073965,3.623381023504674,11.128890041493776,0.1171875,0.03501945525291829,0.0038910505836575876,0.023346303501945526,0.03379309300670716,0.0038759103090130046,0.022801253614740568,0.0703125,0.0078125,0.0390625
REAL,POST_Q1_1,27,PAYLOAD,23,3,U,4,0,236.0,0.17372881355932204,0.15202168916977882,0.3898995885734926,1.934727325856101,2.4052765508493072,0.23404255319148937,0.0423728813559322,0.029661016949152543,0.1016949152542373,0.0405774202815283,0.028781241022694633,0.09135305946567081,0.0851063829787234,0.05531914893617021,0.15319148936170213
REAL,POST_Q1_1,28,PAYLOAD,24,4,S,4,0,248.0,0.1935483870967742,0.17221644120707594,0.4149896880731809,1.8845950593807206,2.4643714460437574,0.3076923076923077,0.09274193548387097,0.056451612903225805,0.04435483870967742,0.08414086888657649,0.05326482830385015,0.04238748699271592,0.1700404858299595,0.11336032388663968,0.08097165991902834
REAL,POST_Q1_1,29,PAYLOAD,25,0,J,5,0,232.0,0.1724137931034483,0.17717003567181924,0.42091571088736907,2.4016141133068234,5.212828250979685,0.2683982683982684,0.0603448275862069,0.04310344827586207,0.06896551724137931,0.056703329369797856,0.04124554102259216,0.06420927467300834,0.09523809523809523,0.06926406926406926,0.12987012987012986
REAL,POST_Q1_1,30,PAYLOAD,26,1,A,5,0,215.0,0.13953488372093023,0.14797187669010273,0.3846711279653085,2.78629548105117,7.444944598337949,0.21495327102803738,0.06046511627906977,0.03255813953488372,0.046511627906976744,0.05680908599242836,0.03149810708491076,0.04434829637641969,0.12149532710280374,0.056074766355140186,0.09345794392523364
REAL,POST_Q1_1,31,PAYLOAD,27,2,N,5,1,267.0,0.07865168539325842,0.07995623448217819,0.28276533465433523,3.6167680542018066,13.010399999999997,0.15037593984962405,0.011235955056179775,0.02247191011235955,0.0449438202247191,0.01110970837015528,0.021966923368261573,0.04292387324832723,0.022556390977443608,0.045112781954887216,0.09022556390977443
REAL,POST_Q1_1,32,PAYLOAD,28,3,U,5,1,283.0,0.0989399293286219,0.09621795752225647,0.31019019572232853,3.0360456595284675,8.536272004738908,0.18439716312056736,0.0353356890459364,0.028268551236749116,0.0353356890459364,0.034087078125585285,0.027469440247724415,0.034087078125585285,0.07092198581560284,0.05673758865248227,0.06382978723404255
REAL,POST_Q1_1,33,PAYLOAD,29,4,S,5,0,236.0,0.19915254237288135,0.16796538351048548,0.4098358006695919,1.6898363113419266,1.4046205823447773,0.32340425531914896,0.06779661016949153,0.06779661016949153,0.0635593220338983,0.06320022981901753,0.06320022981901753,0.059519534616489504,0.1148936170212766,0.11914893617021277,0.12340425531914893
