dataset,mode,sequence_index,bit_true,bit_pred,d0,d1,margin_d0_minus_d1
REAL,RAW,32,1,1,6.197938216547739,0.9391948763297276,5.258743340218011
REAL,RAW,33,0,0,5.625922600196256,6.064683700723016,-0.43876110052675976
REAL,RAW,34,1,1,6.71688400317536,1.1812074041761809,5.535676598999179
REAL,RAW,35,0,1,4.3555596554889515,3.510042758799758,0.8455168966891935
REAL,RAW,36,1,1,3.7848689363972015,3.4581070434614904,0.326761892935711
REAL,RAW,37,0,0,3.0005221454115727,3.987538172053878,-0.9870160266423054
REAL,RAW,38,1,1,9.92159630326909,5.779233517301133,4.142362785967958
REAL,RAW,39,0,0,4.448890874702948,6.002116456424195,-1.5532255817212475
REAL,RAW,40,1,1,6.86503542629495,2.358849339387709,4.506186086907242
REAL,RAW,41,0,0,3.459807492949864,5.088692323317038,-1.628884830367174
REAL,RAW,42,1,1,8.491820246090867,3.6161537878986616,4.875666458192206
REAL,RAW,43,1,1,6.294786793231361,1.8609154015386309,4.43387139169273
REAL,RAW,44,0,0,4.283976852281929,4.611806413982052,-0.32782956170012323
REAL,RAW,45,1,1,6.505107293076216,4.550080667875007,1.9550266252012092
REAL,RAW,46,0,0,5.528337642397881,6.638395598562907,-1.1100579561650257
REAL,RAW,47,1,1,4.984246598378293,4.850289112028775,0.13395748634951854
REAL,RAW,48,1,1,6.064300830923256,3.181664712928731,2.8826361179945246
REAL,POST_Q1_1,4,0,0,6.405901782488707,9.53280405789137,-3.1269022754026636
REAL,POST_Q1_1,5,1,1,7.348085428377423,2.8518070195065315,4.496278408870891
REAL,POST_Q1_1,6,0,0,2.1797684335837073,7.002947013605363,-4.823178580021656
REAL,POST_Q1_1,7,0,1,5.33396949909465,4.6964782582265725,0.6374912408680773
REAL,POST_Q1_1,8,1,1,6.218769395090685,2.712072516175923,3.5066968789147617
REAL,POST_Q1_1,9,1,1,6.23125409777593,1.7402274383439764,4.491026659431954
REAL,POST_Q1_1,10,0,0,7.257686411641894,9.071379838466147,-1.8136934268242522
REAL,POST_Q1_1,11,0,0,5.614871608393975,6.837625590089994,-1.2227539816960187
REAL,POST_Q1_1,12,0,0,7.589078792387437,8.86862077878779,-1.2795419864003525
REAL,POST_Q1_1,13,0,0,7.165186492900122,7.863023753875394,-0.6978372609752723
REAL,POST_Q1_1,14,0,0,3.097448025587401,7.4134200810752855,-4.315972055487885
REAL,POST_Q1_1,15,0,0,5.403772403280097,8.298040313727132,-2.8942679104470344
REAL,POST_Q1_1,16,0,0,6.704651429582991,6.782746983758855,-0.07809555417586456
REAL,POST_Q1_1,17,1,1,9.133661854047057,3.997882242805974,5.135779611241083
REAL,POST_Q1_1,18,1,1,6.272829802698335,2.572486647713912,3.7003431549844232
REAL,POST_Q1_1,19,0,1,7.338275543705669,5.583262465345034,1.7550130783606352
REAL,POST_Q1_1,20,0,0,8.485338126194362,10.456971702589962,-1.9716335763956003
REAL,POST_Q1_1,21,1,1,7.2854602767498085,1.3004845875320923,5.984975689217716
REAL,POST_Q1_1,22,1,1,6.857016229549482,2.4543599760854384,4.402656253464044
REAL,POST_Q1_1,23,1,1,5.331242037774104,2.1670567509265943,3.16418528684751
REAL,POST_Q1_1,24,1,1,7.594914153487259,2.8691207015250813,4.725793451962177
REAL,POST_Q1_1,25,0,0,5.937120604038232,8.790045041815908,-2.852924437777676
